,Time,EMG_zyg,EMG_cor
15117,7.559,-0.018920898,0.003662109
15118,7.5595,-0.01739502,0.000610352
15119,7.56,-0.00579834,-0.003356934
15120,7.5605,0.003051758,-0.003051758
15121,7.561,0.004272461,-0.001831055
15122,7.5615,0.004272461,-0.003967285
15123,7.562,-0.000610352,-0.007324219
15124,7.5625,-0.00213623,-0.007629395
15125,7.563,-0.003356934,-0.00793457
15126,7.5635,0.001525879,-0.011291504
15127,7.564,0.004272461,-0.009155273
15128,7.5645,0.012207031,-0.007019043
15129,7.565,0.016784668,-0.007324219
15130,7.5655,0.022888184,-0.007629395
15131,7.566,0.03326416,-0.006103516
15132,7.5665,0.040283203,-0.004577637
15133,7.567,0.038146973,-0.002746582
15134,7.5675,0.037841797,-0.003662109
15135,7.568,0.037231445,-0.000915527
15136,7.5685,0.029907227,-0.000610352
15137,7.569,0.024414063,0.0
15138,7.5695,0.020446777,0.00213623
15139,7.57,0.010681152,-0.001220703
15140,7.5705,0.001220703,-0.001831055
15141,7.571,-0.004577637,-0.000915527
15142,7.5715,-0.008544922,0.003662109
15143,7.572,-0.014343262,0.00579834
15144,7.5725,-0.01739502,0.003051758
15145,7.573,-0.022583008,-0.000915527
15146,7.5735,-0.025939941,-0.001831055
15147,7.574,-0.028686523,-0.003356934
15148,7.5745,-0.031738281,-0.003967285
15149,7.575,-0.02532959,-0.001220703
15150,7.5755,-0.018615723,0.000915527
15151,7.576,-0.028381348,-0.001525879
15152,7.5765,-0.038757324,-0.003662109
15153,7.577,-0.038757324,-0.006408691
15154,7.5775,-0.028686523,-0.005493164
15155,7.578,-0.026245117,-0.008544922
15156,7.5785,-0.02166748,-0.010681152
15157,7.579,-0.024719238,-0.00793457
15158,7.5795,-0.028686523,-0.006103516
15159,7.58,-0.023803711,-0.002441406
15160,7.5805,-0.016174316,0.000610352
15161,7.581,-0.012817383,0.002746582
15162,7.5815,-0.004272461,0.004272461
15163,7.582,-0.000610352,0.008544922
15164,7.5825,0.007324219,0.010375977
15165,7.583,0.008239746,0.006103516
15166,7.5835,0.007629395,0.006713867
15167,7.584,0.014343262,0.007324219
15168,7.5845,0.018310547,0.00579834
15169,7.585,0.016479492,0.006103516
15170,7.5855,0.015869141,0.004882813
15171,7.586,0.030517578,0.005187988
15172,7.5865,0.040893555,0.004882813
15173,7.587,0.035400391,0.007019043
15174,7.5875,0.036010742,0.010375977
15175,7.588,0.045166016,0.007324219
15176,7.5885,0.040588379,0.003051758
15177,7.589,0.036010742,0.002441406
15178,7.5895,0.039978027,0.003051758
15179,7.59,0.028076172,0.002441406
15180,7.5905,0.011291504,0.003051758
15181,7.591,-0.002441406,0.002441406
15182,7.5915,-0.01373291,-0.001525879
15183,7.592,-0.025939941,-0.003662109
15184,7.5925,-0.034484863,-0.001831055
15185,7.593,-0.040893555,-0.000610352
15186,7.5935,-0.039367676,-0.000610352
15187,7.594,-0.043945313,-0.002441406
15188,7.5945,-0.04486084,-0.000305176
15189,7.595,-0.030517578,-0.000915527
15190,7.5955,-0.01953125,-0.003662109
15191,7.596,-0.025024414,-0.006103516
15192,7.5965,-0.028076172,-0.00579834
15193,7.597,-0.020446777,-0.004272461
15194,7.5975,-0.016479492,-0.001525879
15195,7.598,-0.018310547,-0.002441406
15196,7.5985,-0.01739502,-0.000305176
15197,7.599,-0.014648438,0.001525879
15198,7.5995,-0.013427734,0.001220703
15199,7.6,-0.003967285,0.003051758
15200,7.6005,0.003967285,0.002746582
15201,7.601,0.009460449,0.000610352
15202,7.6015,0.012817383,0.000915527
15203,7.602,0.011901855,0.001220703
15204,7.6025,0.010681152,-0.000915527
15205,7.603,0.012817383,-0.005493164
15206,7.6035,0.017700195,-0.004577637
15207,7.604,0.025024414,-0.003662109
15208,7.6045,0.028686523,-0.003356934
15209,7.605,0.023193359,-0.002441406
15210,7.6055,0.018615723,0.0
15211,7.606,0.025939941,0.001831055
15212,7.6065,0.03112793,-0.000305176
15213,7.607,0.028686523,-0.000915527
15214,7.6075,0.023498535,0.000305176
15215,7.608,0.02532959,0.002441406
15216,7.6085,0.023498535,0.003051758
15217,7.609,0.02166748,0.006713867
15218,7.6095,0.020141602,0.00579834
15219,7.61,0.018005371,0.003356934
15220,7.6105,0.015869141,0.001831055
15221,7.611,0.010986328,-0.000610352
15222,7.6115,0.005493164,-0.003356934
15223,7.612,0.000305176,-0.00213623
15224,7.6125,-0.00579834,-0.001220703
15225,7.613,-0.010070801,-0.003967285
15226,7.6135,-0.016784668,-0.00793457
15227,7.614,-0.024719238,-0.008239746
15228,7.6145,-0.024108887,-0.009460449
15229,7.615,-0.021057129,-0.008239746
15230,7.6155,-0.018005371,-0.008544922
15231,7.616,-0.02746582,-0.010986328
15232,7.6165,-0.042419434,-0.012512207
15233,7.617,-0.049438477,-0.014038086
15234,7.6175,-0.048828125,-0.01159668
15235,7.618,-0.05065918,-0.012817383
15236,7.6185,-0.048828125,-0.010375977
15237,7.619,-0.041503906,-0.007629395
15238,7.6195,-0.032348633,-0.007629395
15239,7.62,-0.01739502,-0.004272461
15240,7.6205,-0.001831055,-0.003356934
15241,7.621,-0.005493164,-0.003356934
15242,7.6215,-0.001525879,-0.001831055
15243,7.622,0.009155273,-0.002746582
15244,7.6225,0.016174316,-0.001831055
15245,7.623,0.022583008,-0.000915527
15246,7.6235,0.021972656,-0.001525879
15247,7.624,0.03112793,0.000305176
15248,7.6245,0.036010742,0.003356934
